comparison,sample_id,model_a,model_b,temperature_a,temperature_b,repeat_a,repeat_b,token,logprob_a,logprob_b,logprob_delta_b_minus_a,probability_delta_b_minus_a
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2, G,-14.904727935791016,-14.989972114562988,-0.08524417877197266,-2.7494421178005072e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,A,-7.029727458953857,-7.5524725914001465,-0.5227451324462891,-0.00036036211504036106
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,B,-4.404727458953857,-4.0524725914001465,0.35225486755371094,0.005159913180575248
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,C,-7.279727458953857,-7.0524725914001465,0.22725486755371094,0.0001758934380918421
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,D,-6.529727458953857,-6.1774725914001465,0.35225486755371094,0.000616263747154672
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,E,-5.404727458953857,-4.5524725914001465,0.8522548675537109,0.006045828898572046
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,F,-4.654727458953857,-3.9274723529815674,0.72725510597229,0.010176881100832706
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,G,-0.029727580025792122,-0.05247241258621216,-0.022744832560420036,-0.021829440455007343
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,N,-10.654727935791016,-10.177472114562988,0.47725582122802734,1.4428140646454408e-05
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,	G,-24.5625,-25.250001907348633,-0.6875019073486328,-1.0694147316252277e-11
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0, G,-17.875,-18.000001907348633,-0.1250019073486328,-2.027877292100927e-09
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,A,-20.5,-21.125001907348633,-0.6250019073486328,-5.809955335750054e-10
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,B,-15.750000953674316,-15.625000953674316,0.125,1.9239670099768808e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,C,-17.5,-16.875001907348633,0.6249980926513672,2.180155918413685e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,D,-16.5,-16.125001907348633,0.3749980926513672,3.105571993589545e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,E,-16.0,-15.125000953674316,0.8749990463256836,1.574224181652967e-07
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,F,-15.500000953674316,-14.375000953674316,1.125,3.859612693035491e-07
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,G,-6.704273118884885e-07,-1.2664456789934775e-06,-5.96018367104989e-07,-5.960177899000385e-07
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,N,-17.375,-18.250001907348633,-0.8750019073486328,-1.65922505617599e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,	G,-24.5625,-24.5625,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1, G,-17.875,-17.875,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,A,-20.5,-20.5,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,B,-15.750000953674316,-15.750000953674316,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,C,-17.5,-17.5,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,D,-16.5,-16.5,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,E,-16.0,-16.0,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,F,-15.500000953674316,-15.500000953674316,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,G,-6.704273118884885e-07,-6.704273118884885e-07,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,N,-17.375,-17.375,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,	G,-24.5625,-25.8125,-1.25,-1.534733051115148e-11
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2, G,-17.875,-18.625,-0.75,-9.105807273490046e-09
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,A,-20.5,-20.875,-0.375,-3.9093620446933163e-10
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,B,-15.750000953674316,-16.0,-0.2499990463256836,-3.196271208767623e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,C,-17.5,-18.25,-0.75,-1.3248871406095989e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,D,-16.5,-17.125,-0.625,-3.1721211626138244e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,E,-16.0,-16.125,-0.125,-1.3223231597696679e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,F,-15.500000953674316,-16.25,-0.7499990463256836,-9.78964771233369e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,G,-6.704273118884885e-07,-4.320199877838604e-07,2.3840732410462806e-07,2.3840719276524425e-07
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_00_alphabet_soup_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,N,-17.375,-18.875,-1.5,-2.210454797379032e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,	F,-25.250102996826172,-27.375011444091797,-2.124908447265625,-9.523062385379258e-12
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0, F,-20.250102996826172,-21.250011444091797,-0.999908447265625,-1.014539088455792e-09
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,A,-16.500102996826172,-18.250011444091797,-1.749908447265625,-5.6388019558160677e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,B,-14.000102996826172,-16.375011444091797,-2.374908447265625,-7.540997447529129e-07
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,C,-9.375102996826172,-11.50001049041748,-2.1249074935913086,-7.467951235703529e-05
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,D,-18.375102996826172,-20.750011444091797,-2.374908447265625,-9.492714851932838e-09
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,E,-18.875102996826172,-20.875011444091797,-1.999908447265625,-5.488939414436383e-09
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,F,-0.0001025895617203787,-1.0921942703134846e-05,9.166761901724385e-05,9.16624165322455e-05
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,G,-11.000102996826172,-14.37501049041748,-3.3749074935913086,-1.6128485878261848e-05
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,N,-21.250102996826172,-26.250011444091797,-4.999908447265625,-5.864906632691395e-10
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,	F,-27.375011444091797,-26.2500057220459,1.1250057220458984,2.6871745464744907e-12
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1, F,-21.250011444091797,-21.0000057220459,0.25000572204589844,1.6772806217875573e-10
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,A,-18.250011444091797,-17.6250057220459,0.6250057220458984,1.0298378563738472e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,B,-16.250011444091797,-16.8750057220459,-0.6249942779541016,-4.073010742301029e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,C,-11.50001049041748,-12.375004768371582,-0.8749942779541016,-5.907156189295635e-06
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,D,-20.750011444091797,-20.3750057220459,0.37500572204589844,4.4299179159819096e-10
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,E,-20.875011444091797,-20.5000057220459,0.37500572204589844,3.909388839558041e-10
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,F,-1.0921942703134846e-05,-5.200166469876422e-06,5.721776233258424e-06,5.721730109931045e-06
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,G,-14.37501049041748,-14.125004768371582,0.25000572204589844,1.6232324149728716e-07
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,N,-26.250011444091797,-24.3750057220459,1.8750057220458984,2.1967029517957772e-11
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,	F,-26.375003814697266,-27.375011444091797,-1.0000076293945312,-2.2196434967680963e-12
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2, F,-21.125003814697266,-21.250011444091797,-0.12500762939453125,-7.863241464766187e-11
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,A,-18.500003814697266,-18.250011444091797,0.24999237060546875,2.6235699884088714e-09
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,B,-16.500003814697266,-16.250011444091797,0.24999237060546875,1.938570582382398e-08
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,C,-12.625004768371582,-11.50001049041748,1.1249942779541016,6.841243130902431e-06
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,D,-20.625003814697266,-20.750011444091797,-0.12500762939453125,-1.2964293459611224e-10
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,E,-21.000003814697266,-20.875011444091797,0.12499237060546875,1.009536787398684e-10
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,F,-4.36574100604048e-06,-1.0921942703134846e-05,-6.556201697094366e-06,-6.556151582737257e-06
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,G,-14.000004768371582,-14.37501049041748,-0.37500572204589844,-2.6002997567869494e-07
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_00,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,N,-22.000003814697266,-26.250011444091797,-4.250007629394531,-2.7496682819080615e-10
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,	F,-30.25,-28.875,1.375,2.153578383862418e-13
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0, F,-23.375,-22.75,0.625,6.123634418983306e-11
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,A,-28.125,-26.5,1.625,2.488625470961293e-12
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,B,-27.375,-26.75,0.625,1.1215827670472177e-12
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,C,-20.0,-19.875,0.125,2.7443941636077923e-10
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,D,-26.0,-25.125,0.875,7.146978416036158e-12
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,E,-26.0,-24.5,1.5,1.7788259428392206e-11
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,F,0.0,0.0,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,G,-26.25,-25.0,1.25,9.908981329126782e-12
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,0,0,N,-30.0,-28.375,1.625,3.8164307658871354e-13
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,	F,-28.625,-28.625,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1, F,-22.25,-22.25,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,A,-26.375,-26.375,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,B,-27.125,-27.125,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,C,-20.75,-20.75,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,D,-25.875,-25.875,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,E,-25.125,-25.125,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,F,0.0,0.0,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,G,-26.375,-26.375,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,1,1,N,-31.5,-31.5,0.0,0.0
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2,	F,-28.875,-28.75,0.125,3.8378054934306e-14
gpt-4.1-mini-2025-04-14: T0 -> T0.5,task_01_cream_cheese_state_01,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,0.5,2,2, F,-22.75,-22.25,0.5,8.547885080694704e-11
