sample_id,model,repeat,first_token,second_token,gap_t05,gap_t1,ratio,absolute_error_unchanged,absolute_error_temperature_scaled
task_04_ketchup_state_01,gpt-4.1-mini-2025-04-14,0,B,A,18.5,18.5,1.0,0.0,18.5
task_04_ketchup_state_01,gpt-4.1-mini-2025-04-14,1,B,A,17.25,20.25,0.8518518518518519,3.0,23.25
task_04_ketchup_state_01,gpt-4.1-mini-2025-04-14,2,B,A,20.25,18.5,1.0945945945945945,1.75,16.75
task_05_tomato_sauce_state_00,gpt-4.1-mini-2025-04-14,0,F,D,7.750000165542588,8.499999835985363,0.9117647429512177,0.7499996704427758,9.24999950642814
task_05_tomato_sauce_state_00,gpt-4.1-mini-2025-04-14,1,F,D,10.500000046144123,7.750000165542588,1.354838686691693,2.7499998806015356,5.000000284941052
task_05_tomato_sauce_state_00,gpt-4.1-mini-2025-04-14,2,F,D,10.500000046144123,10.500000046144123,1.0,0.0,10.500000046144123
task_05_tomato_sauce_state_01,gpt-4.1-mini-2025-04-14,0,E,A,9.499999690742698,9.50000040600571,0.9999999247091598,7.152630132623017e-07,9.500001121268724
task_05_tomato_sauce_state_01,gpt-4.1-mini-2025-04-14,1,E,A,9.50000040600571,3.7499999292194843,2.5333334894176964,5.7500004767862265,2.000000547566742
task_05_tomato_sauce_state_01,gpt-4.1-mini-2025-04-14,2,A,E,-3.7499999292194843,2.7500000409781933,-1.3636363175782298,6.499999970197678,9.250000011175871
task_06_butter_state_00,gpt-4.1-mini-2025-04-14,0,G,N,27.0,27.0,1.0,0.0,27.0
task_06_butter_state_00,gpt-4.1-mini-2025-04-14,1,G,N,27.125,26.5,1.0235849056603774,0.625,25.875
task_06_butter_state_00,gpt-4.1-mini-2025-04-14,2,G,N,24.75,26.5,0.9339622641509434,1.75,28.25
task_06_butter_state_01,gpt-4.1-mini-2025-04-14,0,G,N,24.75,22.625,1.0939226519337018,2.125,20.5
task_06_butter_state_01,gpt-4.1-mini-2025-04-14,1,G,N,24.25,22.625,1.0718232044198894,1.625,21.0
task_06_butter_state_01,gpt-4.1-mini-2025-04-14,2,G,N,21.625,24.375,0.8871794871794871,2.75,27.125
task_07_milk_state_00,gpt-4.1-mini-2025-04-14,0,B,A,22.125,22.125,1.0,0.0,22.125
task_07_milk_state_00,gpt-4.1-mini-2025-04-14,1,B,A,27.875,31.375,0.8884462151394422,3.5,34.875
task_07_milk_state_00,gpt-4.1-mini-2025-04-14,2,B,A,31.375,31.375,1.0,0.0,31.375
task_07_milk_state_01,gpt-4.1-mini-2025-04-14,0,B,A,19.75,19.25,1.025974025974026,0.5,18.75
task_07_milk_state_01,gpt-4.1-mini-2025-04-14,1,B,A,19.25,19.875,0.9685534591194969,0.625,20.5
task_07_milk_state_01,gpt-4.1-mini-2025-04-14,2,B,A,19.25,19.125,1.0065359477124183,0.125,19.0
task_08_chocolate_pudding_state_00,gpt-4.1-mini-2025-04-14,0,G,N,13.2500000448847,12.999999568070052,1.01923080654777,0.2500004768146482,12.749999091255404
task_08_chocolate_pudding_state_00,gpt-4.1-mini-2025-04-14,1,G,N,13.2500000448847,14.00000004483968,0.9464285716033676,0.74999999995498,14.75000004479466
task_08_chocolate_pudding_state_00,gpt-4.1-mini-2025-04-14,2,G,N,13.2500000448847,15.99999980638735,0.8281250128262612,2.74999976150265,18.74999956789
task_08_chocolate_pudding_state_01,gpt-4.1-mini-2025-04-14,0,G,E,14.999999567980012,15.74999980638735,0.9523809366586037,0.7500002384073383,16.50000004479469
task_08_chocolate_pudding_state_01,gpt-4.1-mini-2025-04-14,1,G,E,14.999999567980012,14.999999567980012,1.0,0.0,14.999999567980012
task_08_chocolate_pudding_state_01,gpt-4.1-mini-2025-04-14,2,G,E,14.999999567980012,14.250000283247005,1.0526315277070375,0.7499992847330077,13.500000998513997
task_09_orange_juice_state_00,gpt-4.1-mini-2025-04-14,0,C,A,20.875,20.875,1.0,0.0,20.875
task_09_orange_juice_state_00,gpt-4.1-mini-2025-04-14,1,C,A,20.625,20.625,1.0,0.0,20.625
task_09_orange_juice_state_00,gpt-4.1-mini-2025-04-14,2,C,A,20.875,20.875,1.0,0.0,20.875
task_09_orange_juice_state_01,gpt-4.1-mini-2025-04-14,0,C,A,31.125,31.125,1.0,0.0,31.125
task_09_orange_juice_state_01,gpt-4.1-mini-2025-04-14,1,C,A,19.5,18.125,1.0758620689655172,1.375,16.75
task_09_orange_juice_state_01,gpt-4.1-mini-2025-04-14,2,C,A,18.125,19.5,0.9294871794871795,1.375,20.875
task_00_alphabet_soup_state_00,gpt-4o-2024-08-06,0,F,E,1.7187499701976776,1.7187499701976776,1.0,0.0,1.7187499701976776
task_00_alphabet_soup_state_00,gpt-4o-2024-08-06,1,F,E,1.7187499701976776,1.7187499701976776,1.0,0.0,1.7187499701976776
task_00_alphabet_soup_state_00,gpt-4o-2024-08-06,2,F,E,1.7187499701976776,1.7187499701976776,1.0,0.0,1.7187499701976776
task_00_alphabet_soup_state_01,gpt-4o-2024-08-06,0,F,E,2.437499947845936,2.437499947845936,1.0,0.0,2.437499947845936
task_00_alphabet_soup_state_01,gpt-4o-2024-08-06,1,F,E,2.999999962747097,2.437499947845936,1.2307692418201908,0.5625000149011612,1.8749999329447746
task_00_alphabet_soup_state_01,gpt-4o-2024-08-06,2,F,E,2.7499999701976776,2.437499947845936,1.1282051401182198,0.3125000223517418,2.124999925494194
task_01_cream_cheese_state_00,gpt-4o-2024-08-06,0,F,N,1.2500000298023224,0.28125,4.4444445504082575,0.9687500298023224,0.6875000298023224
task_01_cream_cheese_state_00,gpt-4o-2024-08-06,1,F,N,0.28125,0.5937499701976776,0.47368423430213097,0.3124999701976776,0.9062499403953552
task_01_cream_cheese_state_00,gpt-4o-2024-08-06,2,F,N,0.28125,0.28125,1.0,0.0,0.28125
task_01_cream_cheese_state_01,gpt-4o-2024-08-06,0,N,F,9.687500182524673,9.687500182524673,1.0,0.0,9.687500182524673
task_01_cream_cheese_state_01,gpt-4o-2024-08-06,1,N,F,8.937500465923222,9.687500182524673,0.9225806758740115,0.7499997166014509,10.437499899126124
task_01_cream_cheese_state_01,gpt-4o-2024-08-06,2,N,F,8.406250365020242,8.953125346364686,0.9389179800139292,0.5468749813444447,9.500000327709131
task_02_salad_dressing_state_00,gpt-4o-2024-08-06,0,C,G,10.687500285675924,10.9375001662047,0.9771428684132742,0.24999988052877598,11.187500046733476
task_02_salad_dressing_state_00,gpt-4o-2024-08-06,1,C,G,10.531249810344889,10.9375001662047,0.9628571108858068,0.40625035585981095,11.34375052206451
task_02_salad_dressing_state_00,gpt-4o-2024-08-06,2,C,B,10.484374810344889,10.484374810344889,1.0,0.0,10.484374810344889
task_02_salad_dressing_state_01,gpt-4o-2024-08-06,0,C,B,12.078125283606823,10.703125046189598,1.1284671749123156,1.3750002374172254,9.328124808772372
task_02_salad_dressing_state_01,gpt-4o-2024-08-06,1,C,B,12.078125283606823,11.062500403530066,1.091807895415097,1.015624880076757,10.04687552345331
task_02_salad_dressing_state_01,gpt-4o-2024-08-06,2,C,B,11.062500403530066,11.062500403530066,1.0,0.0,11.062500403530066
task_03_bbq_sauce_state_00,gpt-4o-2024-08-06,1,F,E,0.0625,0.09375,0.6666666666666666,0.03125,0.125
task_03_bbq_sauce_state_00,gpt-4o-2024-08-06,2,F,E,0.09375,0.0625,1.5,0.03125,0.03125
task_03_bbq_sauce_state_01,gpt-4o-2024-08-06,0,E,F,0.9062499701976776,0.9062499701976776,1.0,0.0,0.9062499701976776
task_03_bbq_sauce_state_01,gpt-4o-2024-08-06,1,E,F,0.9062499701976776,1.0312499701976776,0.8787878752849427,0.125,1.1562499701976776
task_03_bbq_sauce_state_01,gpt-4o-2024-08-06,2,E,F,0.9062499701976776,1.6562499701976776,0.5471698031725938,0.75,2.4062499701976776
task_04_ketchup_state_00,gpt-4o-2024-08-06,0,C,B,11.484375045380148,11.62499968767861,0.9879032562514809,0.14062464229846228,11.765624329977072
task_04_ketchup_state_00,gpt-4o-2024-08-06,1,C,B,11.62499968767861,11.62499968767861,1.0,0.0,11.62499968767861
task_04_ketchup_state_00,gpt-4o-2024-08-06,2,C,B,11.62499968767861,11.62499968767861,1.0,0.0,11.62499968767861
task_04_ketchup_state_01,gpt-4o-2024-08-06,0,B,A,6.218749958788976,6.218749958788976,1.0,0.0,6.218749958788976
task_04_ketchup_state_01,gpt-4o-2024-08-06,1,B,A,6.218749958788976,6.218749958788976,1.0,0.0,6.218749958788976
task_04_ketchup_state_01,gpt-4o-2024-08-06,2,B,A,6.218749958788976,6.812500221538357,0.9128440009627913,0.5937502627493814,7.406250484287739
task_05_tomato_sauce_state_00,gpt-4o-2024-08-06,0,C,N,11.046875406813342,7.562499945517629,1.4607438659700007,3.4843754612957127,4.078124484221917
task_05_tomato_sauce_state_00,gpt-4o-2024-08-06,1,C,B,10.343750287342118,10.343750287342118,1.0,0.0,10.343750287342118
task_05_tomato_sauce_state_00,gpt-4o-2024-08-06,2,C,N,11.546875287342118,7.562499945517629,1.5268595531278077,3.9843753418244887,3.5781246036931407
task_05_tomato_sauce_state_01,gpt-4o-2024-08-06,0,C,A,8.562499708379619,9.218750313026248,0.9288134961504124,0.6562506046466297,9.875000917672878
task_05_tomato_sauce_state_01,gpt-4o-2024-08-06,1,C,A,8.562499708379619,8.562499708379619,1.0,0.0,8.562499708379619
task_05_tomato_sauce_state_01,gpt-4o-2024-08-06,2,C,A,8.562499708379619,8.562499708379619,1.0,0.0,8.562499708379619
task_06_butter_state_00,gpt-4o-2024-08-06,0,G,F,5.828124929219484,5.093749978579581,1.1441717700570548,0.7343749506399035,4.359375027939677
task_06_butter_state_00,gpt-4o-2024-08-06,1,G,F,5.093749978579581,5.093749978579581,1.0,0.0,5.093749978579581
task_06_butter_state_00,gpt-4o-2024-08-06,2,G,F,4.937500135973096,5.093749978579581,0.9693251841445787,0.1562498426064849,5.249999821186066
task_06_butter_state_01,gpt-4o-2024-08-06,0,G,N,0.8125000298023224,0.8125000298023224,1.0,0.0,0.8125000298023224
task_06_butter_state_01,gpt-4o-2024-08-06,1,N,G,-0.8125000298023224,0.21875,-3.7142858505249023,1.0312500298023224,1.2500000298023224
task_06_butter_state_01,gpt-4o-2024-08-06,2,N,G,-0.8125000298023224,0.3125,-2.600000095367432,1.1250000298023224,1.4375000298023224
task_07_milk_state_00,gpt-4o-2024-08-06,0,B,A,7.124999917810783,6.5624997795093805,1.0857143096686634,0.5625001383014023,5.999999641207978
task_07_milk_state_00,gpt-4o-2024-08-06,1,B,A,5.93749990966171,5.93749990966171,1.0,0.0,5.93749990966171
task_07_milk_state_00,gpt-4o-2024-08-06,2,B,A,6.5624997795093805,5.93749990966171,1.1052631375759094,0.6249998698476702,5.31250003981404
task_07_milk_state_01,gpt-4o-2024-08-06,0,B,A,5.312499962747097,5.312499962747097,1.0,0.0,5.312499962747097
task_07_milk_state_01,gpt-4o-2024-08-06,1,B,A,5.3125000931322575,5.281249913387001,1.005917193894961,0.0312501797452569,5.249999733641744
task_07_milk_state_01,gpt-4o-2024-08-06,2,B,A,5.312499962747097,5.3125000931322575,0.9999999754569114,1.30385160446167e-07,5.312500223517418
task_08_chocolate_pudding_state_00,gpt-4o-2024-08-06,0,N,F,5.656250169500709,6.749999930616468,0.8379629966876356,1.0937497611157596,7.843749691732228
task_08_chocolate_pudding_state_00,gpt-4o-2024-08-06,1,N,F,6.749999930616468,6.749999930616468,1.0,0.0,6.749999930616468
task_08_chocolate_pudding_state_00,gpt-4o-2024-08-06,2,N,F,7.109375185100362,6.749999930616468,1.0532407789893226,0.3593752544838935,6.390624676132575
task_08_chocolate_pudding_state_01,gpt-4o-2024-08-06,0,N,E,6.781249936670065,7.156250034226105,0.9475982398934454,0.3750000975560397,7.531250131782144
task_08_chocolate_pudding_state_01,gpt-4o-2024-08-06,1,N,E,5.859374954830855,5.859374954830855,1.0,0.0,5.859374954830855
task_08_chocolate_pudding_state_01,gpt-4o-2024-08-06,2,N,E,5.859374954830855,6.781249936670065,0.864055300947675,0.9218749818392098,7.703124918509275
task_09_orange_juice_state_00,gpt-4o-2024-08-06,0,C,B,9.906249690517143,9.906249690517143,1.0,0.0,9.906249690517143
task_09_orange_juice_state_00,gpt-4o-2024-08-06,1,C,B,9.906249690517143,9.187500420797733,1.0782312094476076,0.7187492697194102,8.468751151078322
task_09_orange_juice_state_00,gpt-4o-2024-08-06,2,C,B,9.906249690517143,9.187500420797733,1.0782312094476076,0.7187492697194102,8.468751151078322
task_09_orange_juice_state_01,gpt-4o-2024-08-06,0,C,A,13.82812528333693,10.937499807512722,1.264285762440764,2.8906254758242085,8.046874331688514
task_09_orange_juice_state_01,gpt-4o-2024-08-06,1,C,A,11.031249688534444,10.937499807512722,1.0085714178442615,0.0937498810217221,10.843749926491
task_09_orange_juice_state_01,gpt-4o-2024-08-06,2,C,A,11.031249688534444,11.031249688534444,1.0,0.0,11.031249688534444
