model,state,observed,target_family,repeated_queries,p_A_range_upper,answer_agreement
qwen3.5:4b,state_202,DSUB_Male,round_pin,3,0.0,True
qwen3.5:4b,state_303,Gear_Large,gear,3,0.0,True
qwen3.5:4b,state_303,Gear_Large,hex_nut,2,0.0,True
qwen3.5:4b,state_303,Gear_Large,round_pin,3,0.0,True
qwen3.5:4b,state_303,Gear_Medium,gear,3,0.0,True
qwen3.5:4b,state_303,Gear_Medium,hex_nut,2,0.0,True
qwen3.5:4b,state_303,Gear_Medium,round_pin,3,0.0,True
qwen3.5:4b,state_303,Gear_Small,gear,3,0.0,True
qwen3.5:4b,state_303,Gear_Small,hex_nut,2,0.0,True
qwen3.5:4b,state_303,Gear_Small,round_pin,3,0.0,True
qwen3.5:4b,state_303,Waterproof_Male,gear,3,0.0,True
qwen3.5:4b,state_303,Waterproof_Male,hex_nut,2,0.0,True
qwen3.5:4b,state_303,Waterproof_Male,round_pin,3,0.0,True
qwen3.5:4b,state_303,M12_Hex_Nut,gear,3,0.0,True
qwen3.5:4b,state_303,M12_Hex_Nut,hex_nut,2,0.0,True
qwen3.5:4b,state_303,M12_Hex_Nut,round_pin,3,0.0,True
qwen3.5:4b,state_303,M16_Hex_Nut,gear,3,0.0,True
qwen3.5:4b,state_303,M16_Hex_Nut,hex_nut,2,0.0,True
qwen3.5:4b,state_303,M16_Hex_Nut,round_pin,3,0.0,True
qwen3.5:4b,state_303,RGOCG16-50_16mm,gear,3,0.0,True
qwen3.5:4b,state_303,RGOCG16-50_16mm,hex_nut,2,0.0,True
qwen3.5:4b,state_303,RGOCG16-50_16mm,round_pin,3,0.0,True
qwen3.5:4b,state_303,RGOCG12-50_12mm,gear,3,0.0,True
qwen3.5:4b,state_303,RGOCG12-50_12mm,hex_nut,2,0.0,True
qwen3.5:4b,state_303,RGOCG12-50_12mm,round_pin,3,0.0,True
qwen3.5:4b,state_303,RGOCG8-50_8mm,gear,3,0.0,True
qwen3.5:4b,state_303,RGOCG8-50_8mm,hex_nut,2,0.0,True
qwen3.5:4b,state_303,RGOCG8-50_8mm,round_pin,3,0.0,True
qwen3.5:4b,state_303,USB_Male,gear,3,0.0,True
qwen3.5:4b,state_303,USB_Male,hex_nut,2,0.0,True
qwen3.5:4b,state_303,USB_Male,round_pin,3,0.0,True
qwen3.5:4b,state_303,DSUB_Male,gear,3,0.0,True
qwen3.5:4b,state_303,DSUB_Male,hex_nut,2,0.0,True
qwen3.5:4b,state_303,DSUB_Male,round_pin,3,0.0,True
qwen3.5:9b,original,Gear_Large,gear,3,0.0,True
qwen3.5:9b,original,Gear_Large,hex_nut,2,0.0,True
qwen3.5:9b,original,Gear_Large,round_pin,3,0.0,True
qwen3.5:9b,original,Gear_Medium,gear,3,0.0,True
qwen3.5:9b,original,Gear_Medium,hex_nut,2,0.0,True
qwen3.5:9b,original,Gear_Medium,round_pin,3,0.0,True
qwen3.5:9b,original,Gear_Small,gear,3,0.0,True
qwen3.5:9b,original,Gear_Small,hex_nut,2,0.0,True
qwen3.5:9b,original,Gear_Small,round_pin,3,0.0,True
qwen3.5:9b,original,Waterproof_Male,gear,3,0.0,True
qwen3.5:9b,original,Waterproof_Male,hex_nut,2,0.0,True
qwen3.5:9b,original,Waterproof_Male,round_pin,3,0.0,True
qwen3.5:9b,original,M12_Hex_Nut,gear,3,0.0,True
qwen3.5:9b,original,M12_Hex_Nut,hex_nut,2,0.0,True
qwen3.5:9b,original,M12_Hex_Nut,round_pin,3,0.0,True
qwen3.5:9b,original,M16_Hex_Nut,gear,3,0.0,True
qwen3.5:9b,original,M16_Hex_Nut,hex_nut,2,0.0,True
qwen3.5:9b,original,M16_Hex_Nut,round_pin,3,0.0,True
qwen3.5:9b,original,RGOCG16-50_16mm,gear,3,0.0,True
qwen3.5:9b,original,RGOCG16-50_16mm,hex_nut,2,0.0,True
qwen3.5:9b,original,RGOCG16-50_16mm,round_pin,3,0.0,True
qwen3.5:9b,original,RGOCG12-50_12mm,gear,3,0.0,True
qwen3.5:9b,original,RGOCG12-50_12mm,hex_nut,2,0.0,True
qwen3.5:9b,original,RGOCG12-50_12mm,round_pin,3,0.0,True
qwen3.5:9b,original,RGOCG8-50_8mm,gear,3,0.0,True
qwen3.5:9b,original,RGOCG8-50_8mm,hex_nut,2,0.0,True
qwen3.5:9b,original,RGOCG8-50_8mm,round_pin,3,0.0,True
qwen3.5:9b,original,USB_Male,gear,3,0.0,True
qwen3.5:9b,original,USB_Male,hex_nut,2,0.0,True
qwen3.5:9b,original,USB_Male,round_pin,3,0.0,True
qwen3.5:9b,original,DSUB_Male,gear,3,0.0,True
qwen3.5:9b,original,DSUB_Male,hex_nut,2,0.0,True
qwen3.5:9b,original,DSUB_Male,round_pin,3,0.0,True
qwen3.5:9b,state_101,Gear_Large,gear,3,0.0,True
qwen3.5:9b,state_101,Gear_Large,hex_nut,2,0.0,True
qwen3.5:9b,state_101,Gear_Large,round_pin,3,0.0,True
qwen3.5:9b,state_101,Gear_Medium,gear,3,0.0,True
qwen3.5:9b,state_101,Gear_Medium,hex_nut,2,0.0,True
qwen3.5:9b,state_101,Gear_Medium,round_pin,3,0.0,True
qwen3.5:9b,state_101,Gear_Small,gear,3,0.0,True
qwen3.5:9b,state_101,Gear_Small,hex_nut,2,0.0,True
qwen3.5:9b,state_101,Gear_Small,round_pin,3,0.0,True
qwen3.5:9b,state_101,Waterproof_Male,gear,3,0.0,True
qwen3.5:9b,state_101,Waterproof_Male,hex_nut,2,0.0,True
qwen3.5:9b,state_101,Waterproof_Male,round_pin,3,0.0,True
qwen3.5:9b,state_101,M12_Hex_Nut,gear,3,0.0,True
qwen3.5:9b,state_101,M12_Hex_Nut,hex_nut,2,0.0,True
qwen3.5:9b,state_101,M12_Hex_Nut,round_pin,3,0.0,True
qwen3.5:9b,state_101,M16_Hex_Nut,gear,3,0.0,True
qwen3.5:9b,state_101,M16_Hex_Nut,hex_nut,2,0.0,True
qwen3.5:9b,state_101,M16_Hex_Nut,round_pin,3,0.0,True
qwen3.5:9b,state_101,RGOCG16-50_16mm,gear,3,0.0,True
qwen3.5:9b,state_101,RGOCG16-50_16mm,hex_nut,2,0.0,True
qwen3.5:9b,state_101,RGOCG16-50_16mm,round_pin,3,0.0,True
qwen3.5:9b,state_101,RGOCG12-50_12mm,gear,3,0.0,True
qwen3.5:9b,state_101,RGOCG12-50_12mm,hex_nut,2,0.0,True
qwen3.5:9b,state_101,RGOCG12-50_12mm,round_pin,3,0.0,True
qwen3.5:9b,state_101,RGOCG8-50_8mm,gear,3,0.0,True
qwen3.5:9b,state_101,RGOCG8-50_8mm,hex_nut,2,0.0,True
qwen3.5:9b,state_101,RGOCG8-50_8mm,round_pin,3,0.0,True
qwen3.5:9b,state_101,USB_Male,gear,3,0.0,True
qwen3.5:9b,state_101,USB_Male,hex_nut,2,0.0,True
qwen3.5:9b,state_101,USB_Male,round_pin,3,0.0,True
qwen3.5:9b,state_101,DSUB_Male,gear,3,0.0,True
qwen3.5:9b,state_101,DSUB_Male,hex_nut,2,0.0,True
qwen3.5:9b,state_101,DSUB_Male,round_pin,3,0.0,True
qwen3.5:9b,state_202,Gear_Large,gear,3,0.0,True
qwen3.5:9b,state_202,Gear_Large,hex_nut,2,0.0,True
qwen3.5:9b,state_202,Gear_Large,round_pin,3,0.0,True
qwen3.5:9b,state_202,Gear_Medium,gear,3,0.0,True
qwen3.5:9b,state_202,Gear_Medium,hex_nut,2,0.0,True
qwen3.5:9b,state_202,Gear_Medium,round_pin,3,0.0,True
qwen3.5:9b,state_202,Gear_Small,gear,3,0.0,True
qwen3.5:9b,state_202,Gear_Small,hex_nut,2,0.0,True
qwen3.5:9b,state_202,Gear_Small,round_pin,3,0.0,True
qwen3.5:9b,state_202,Waterproof_Male,gear,3,0.0,True
qwen3.5:9b,state_202,Waterproof_Male,hex_nut,2,0.0,True
qwen3.5:9b,state_202,Waterproof_Male,round_pin,3,0.0,True
qwen3.5:9b,state_202,M12_Hex_Nut,gear,3,0.0,True
qwen3.5:9b,state_202,M12_Hex_Nut,hex_nut,2,0.0,True
qwen3.5:9b,state_202,M12_Hex_Nut,round_pin,3,0.0,True
qwen3.5:9b,state_202,M16_Hex_Nut,gear,3,0.0,True
qwen3.5:9b,state_202,M16_Hex_Nut,hex_nut,2,0.0,True
qwen3.5:9b,state_202,M16_Hex_Nut,round_pin,3,0.0,True
qwen3.5:9b,state_202,RGOCG16-50_16mm,gear,3,0.0,True
qwen3.5:9b,state_202,RGOCG16-50_16mm,hex_nut,2,0.0,True
qwen3.5:9b,state_202,RGOCG16-50_16mm,round_pin,3,0.0,True
qwen3.5:9b,state_202,RGOCG12-50_12mm,gear,3,0.0,True
qwen3.5:9b,state_202,RGOCG12-50_12mm,hex_nut,2,0.0,True
qwen3.5:9b,state_202,RGOCG12-50_12mm,round_pin,3,0.0,True
qwen3.5:9b,state_202,RGOCG8-50_8mm,gear,3,0.0,True
qwen3.5:9b,state_202,RGOCG8-50_8mm,hex_nut,2,0.0,True
qwen3.5:9b,state_202,RGOCG8-50_8mm,round_pin,3,0.0,True
qwen3.5:9b,state_202,USB_Male,gear,3,0.0,True
qwen3.5:9b,state_202,USB_Male,hex_nut,2,0.0,True
qwen3.5:9b,state_202,USB_Male,round_pin,3,0.0,True
qwen3.5:9b,state_202,DSUB_Male,gear,3,0.0,True
qwen3.5:9b,state_202,DSUB_Male,hex_nut,2,0.0,True
qwen3.5:9b,state_202,DSUB_Male,round_pin,3,0.0,True
qwen3.5:9b,state_303,Gear_Large,gear,3,0.0,True
qwen3.5:9b,state_303,Gear_Large,hex_nut,2,0.0,True
qwen3.5:9b,state_303,Gear_Large,round_pin,3,0.0,True
qwen3.5:9b,state_303,Gear_Medium,gear,3,0.0,True
qwen3.5:9b,state_303,Gear_Medium,hex_nut,2,0.0,True
qwen3.5:9b,state_303,Gear_Medium,round_pin,3,0.0,True
qwen3.5:9b,state_303,Gear_Small,gear,3,0.0,True
qwen3.5:9b,state_303,Gear_Small,hex_nut,2,0.0,True
qwen3.5:9b,state_303,Gear_Small,round_pin,3,0.0,True
qwen3.5:9b,state_303,Waterproof_Male,gear,3,0.0,True
qwen3.5:9b,state_303,Waterproof_Male,hex_nut,2,0.0,True
qwen3.5:9b,state_303,Waterproof_Male,round_pin,3,0.0,True
qwen3.5:9b,state_303,M12_Hex_Nut,gear,3,0.0,True
qwen3.5:9b,state_303,M12_Hex_Nut,hex_nut,2,0.0,True
qwen3.5:9b,state_303,M12_Hex_Nut,round_pin,3,0.0,True
qwen3.5:9b,state_303,M16_Hex_Nut,gear,3,0.0,True
qwen3.5:9b,state_303,M16_Hex_Nut,hex_nut,2,0.0,True
qwen3.5:9b,state_303,M16_Hex_Nut,round_pin,3,0.0,True
qwen3.5:9b,state_303,RGOCG16-50_16mm,gear,3,0.0,True
qwen3.5:9b,state_303,RGOCG16-50_16mm,hex_nut,2,0.0,True
qwen3.5:9b,state_303,RGOCG16-50_16mm,round_pin,3,0.0,True
qwen3.5:9b,state_303,RGOCG12-50_12mm,gear,3,0.0,True
qwen3.5:9b,state_303,RGOCG12-50_12mm,hex_nut,2,0.0,True
qwen3.5:9b,state_303,RGOCG12-50_12mm,round_pin,3,0.0,True
qwen3.5:9b,state_303,RGOCG8-50_8mm,gear,3,0.0,True
qwen3.5:9b,state_303,RGOCG8-50_8mm,hex_nut,2,0.0,True
qwen3.5:9b,state_303,RGOCG8-50_8mm,round_pin,3,0.0,True
qwen3.5:9b,state_303,USB_Male,gear,3,0.0,True
qwen3.5:9b,state_303,USB_Male,hex_nut,2,0.0,True
qwen3.5:9b,state_303,USB_Male,round_pin,3,0.0,True
qwen3.5:9b,state_303,DSUB_Male,gear,3,0.0,True
qwen3.5:9b,state_303,DSUB_Male,hex_nut,2,0.0,True
qwen3.5:9b,state_303,DSUB_Male,round_pin,3,0.0,True
gemma4:12b,original,Gear_Large,gear,3,1.0728834993756209e-06,True
gemma4:12b,original,Gear_Large,hex_nut,2,5.6873549850762144e-08,True
gemma4:12b,original,Gear_Large,round_pin,3,1.5880352179202776e-05,True
gemma4:12b,original,Gear_Medium,gear,3,1.192092923929522e-06,True
gemma4:12b,original,Gear_Medium,hex_nut,2,7.516114772182792e-09,True
gemma4:12b,original,Gear_Medium,round_pin,3,6.879419069730426e-06,True
gemma4:12b,original,Gear_Small,gear,3,4.76837158203125e-07,True
gemma4:12b,original,Gear_Small,hex_nut,2,1.4364486866820469e-08,True
gemma4:12b,original,Gear_Small,round_pin,3,5.622134280781099e-08,True
gemma4:12b,original,Waterproof_Male,gear,3,9.650856780043497e-07,True
gemma4:12b,original,Waterproof_Male,hex_nut,2,2.3440006368042884e-06,True
gemma4:12b,original,Waterproof_Male,round_pin,3,7.539040870361861e-08,True
gemma4:12b,original,M12_Hex_Nut,gear,3,0.010378465224972516,True
gemma4:12b,original,M12_Hex_Nut,hex_nut,2,5.8412547857544794e-06,True
gemma4:12b,original,M12_Hex_Nut,round_pin,3,5.293925893719248e-07,True
gemma4:12b,original,M16_Hex_Nut,gear,3,5.517428904464573e-05,True
gemma4:12b,original,M16_Hex_Nut,hex_nut,2,1.788139193936722e-06,True
gemma4:12b,original,M16_Hex_Nut,round_pin,3,3.505839808893852e-08,True
gemma4:12b,original,RGOCG16-50_16mm,gear,3,4.9965517235344855e-06,True
gemma4:12b,original,RGOCG16-50_16mm,hex_nut,2,8.299292764600546e-08,True
gemma4:12b,original,RGOCG16-50_16mm,round_pin,3,8.344649771174772e-07,True
gemma4:12b,original,RGOCG12-50_12mm,gear,3,6.542193102394122e-06,True
gemma4:12b,original,RGOCG12-50_12mm,hex_nut,2,1.9295749044511227e-07,True
gemma4:12b,original,RGOCG12-50_12mm,round_pin,3,4.76837158203125e-07,True
gemma4:12b,original,RGOCG8-50_8mm,gear,3,6.375104593662382e-07,True
gemma4:12b,original,RGOCG8-50_8mm,hex_nut,2,3.485072065255959e-07,True
gemma4:12b,original,RGOCG8-50_8mm,round_pin,3,3.5762781891435225e-07,True
gemma4:12b,original,USB_Male,gear,3,3.3925876090252534e-07,True
gemma4:12b,original,USB_Male,hex_nut,2,3.3001238658687996e-07,True
gemma4:12b,original,USB_Male,round_pin,3,2.6728725526252736e-06,True
gemma4:12b,original,DSUB_Male,gear,3,1.1274902081351473e-07,True
gemma4:12b,original,DSUB_Male,hex_nut,2,1.387896955206119e-07,True
gemma4:12b,original,DSUB_Male,round_pin,3,9.296343237887155e-06,True
gemma4:12b,state_101,Gear_Large,gear,3,2.384185677217765e-06,True
gemma4:12b,state_101,Gear_Large,hex_nut,2,4.461908913079813e-09,True
gemma4:12b,state_101,Gear_Large,round_pin,3,2.1043200150842143e-07,True
gemma4:12b,state_101,Gear_Medium,gear,3,1.192093208035594e-06,True
gemma4:12b,state_101,Gear_Medium,hex_nut,2,4.3369803783412035e-09,True
gemma4:12b,state_101,Gear_Medium,round_pin,3,9.119968491354764e-07,True
gemma4:12b,state_101,Gear_Small,gear,3,1.1920916875851617e-07,True
gemma4:12b,state_101,Gear_Small,hex_nut,2,2.064897415267872e-08,True
gemma4:12b,state_101,Gear_Small,round_pin,3,1.5894091314168505e-07,True
gemma4:12b,state_101,Waterproof_Male,gear,3,1.738972172095026e-07,True
gemma4:12b,state_101,Waterproof_Male,hex_nut,2,7.259317938423853e-08,True
gemma4:12b,state_101,Waterproof_Male,round_pin,3,5.617108824420768e-08,True
gemma4:12b,state_101,M12_Hex_Nut,gear,3,0.011595740089150264,True
gemma4:12b,state_101,M12_Hex_Nut,hex_nut,2,3.576268663429971e-07,True
gemma4:12b,state_101,M12_Hex_Nut,round_pin,3,1.6488629384943687e-07,True
gemma4:12b,state_101,M16_Hex_Nut,gear,3,0.053743906358564186,True
gemma4:12b,state_101,M16_Hex_Nut,hex_nut,2,0.00011038699569898558,True
gemma4:12b,state_101,M16_Hex_Nut,round_pin,3,8.615676693254763e-06,True
gemma4:12b,state_101,RGOCG16-50_16mm,gear,3,4.211330020503309e-06,True
gemma4:12b,state_101,RGOCG16-50_16mm,hex_nut,2,7.062745425958338e-08,True
gemma4:12b,state_101,RGOCG16-50_16mm,round_pin,3,3.5762771943836924e-07,True
gemma4:12b,state_101,RGOCG12-50_12mm,gear,3,1.2183059993262704e-06,True
gemma4:12b,state_101,RGOCG12-50_12mm,hex_nut,2,6.074529844264311e-07,True
gemma4:12b,state_101,RGOCG12-50_12mm,round_pin,3,7.152557657263969e-07,True
gemma4:12b,state_101,RGOCG8-50_8mm,gear,3,6.800708255994742e-06,True
gemma4:12b,state_101,RGOCG8-50_8mm,hex_nut,2,5.650680503957974e-07,True
gemma4:12b,state_101,RGOCG8-50_8mm,round_pin,3,7.152558509915252e-07,True
gemma4:12b,state_101,USB_Male,gear,3,2.0574898600576536e-07,True
gemma4:12b,state_101,USB_Male,hex_nut,2,5.050919255004248e-07,True
gemma4:12b,state_101,USB_Male,round_pin,3,6.491516676189572e-06,True
gemma4:12b,state_101,DSUB_Male,gear,3,2.416444073070778e-07,True
gemma4:12b,state_101,DSUB_Male,hex_nut,2,1.9795090921611597e-07,True
gemma4:12b,state_101,DSUB_Male,round_pin,3,2.7692276049519992e-06,True
gemma4:12b,state_202,Gear_Large,gear,3,1.1920923981278975e-07,True
gemma4:12b,state_202,Gear_Large,hex_nut,2,7.481097604498532e-08,True
gemma4:12b,state_202,Gear_Large,round_pin,3,2.245604367065774e-06,True
gemma4:12b,state_202,Gear_Medium,gear,3,2.3841855067985307e-07,True
gemma4:12b,state_202,Gear_Medium,hex_nut,2,2.313650713288666e-08,True
gemma4:12b,state_202,Gear_Medium,round_pin,3,3.8967515036602614e-07,True
gemma4:12b,state_202,Gear_Small,gear,3,1.1920896980655016e-07,True
gemma4:12b,state_202,Gear_Small,hex_nut,2,1.0531806902210658e-07,True
gemma4:12b,state_202,Gear_Small,round_pin,3,9.067147481087858e-06,True
gemma4:12b,state_202,Waterproof_Male,gear,3,1.0094561927265545e-06,True
gemma4:12b,state_202,Waterproof_Male,hex_nut,2,2.103651213727889e-06,True
gemma4:12b,state_202,Waterproof_Male,round_pin,3,2.5699755563765076e-06,True
gemma4:12b,state_202,M12_Hex_Nut,gear,3,8.702734394589223e-07,True
gemma4:12b,state_202,M12_Hex_Nut,hex_nut,2,2.980232188809495e-06,True
gemma4:12b,state_202,M12_Hex_Nut,round_pin,3,1.0603747229494757e-07,True
gemma4:12b,state_202,M16_Hex_Nut,gear,3,3.792735958466496e-07,True
gemma4:12b,state_202,M16_Hex_Nut,hex_nut,2,2.741811944151351e-06,True
gemma4:12b,state_202,M16_Hex_Nut,round_pin,3,2.3430623306075013e-07,True
gemma4:12b,state_202,RGOCG16-50_16mm,gear,3,4.643650494358587e-06,True
gemma4:12b,state_202,RGOCG16-50_16mm,hex_nut,2,1.0070185026041703e-07,True
gemma4:12b,state_202,RGOCG16-50_16mm,round_pin,3,1.0728835704298945e-06,True
gemma4:12b,state_202,RGOCG12-50_12mm,gear,3,2.034699517211101e-06,True
gemma4:12b,state_202,RGOCG12-50_12mm,hex_nut,2,2.0740835782327166e-07,True
gemma4:12b,state_202,RGOCG12-50_12mm,round_pin,3,5.96046483281043e-07,True
gemma4:12b,state_202,RGOCG8-50_8mm,gear,3,1.7495149850284878e-06,True
gemma4:12b,state_202,RGOCG8-50_8mm,hex_nut,2,3.6660420041135764e-07,True
gemma4:12b,state_202,RGOCG8-50_8mm,round_pin,3,1.1920921139108032e-07,True
gemma4:12b,state_202,USB_Male,gear,3,1.700427486217547e-07,True
gemma4:12b,state_202,USB_Male,hex_nut,2,5.130008033943716e-07,True
gemma4:12b,state_202,USB_Male,round_pin,3,2.4852837907728443e-05,True
gemma4:12b,state_202,DSUB_Male,gear,3,2.729464232830508e-07,True
gemma4:12b,state_202,DSUB_Male,hex_nut,2,3.436577191123494e-08,True
gemma4:12b,state_202,DSUB_Male,round_pin,3,3.669288792597148e-09,True
gemma4:12b,state_303,Gear_Large,gear,3,9.5367420260839e-07,True
gemma4:12b,state_303,Gear_Large,hex_nut,2,7.960430835037206e-08,True
gemma4:12b,state_303,Gear_Large,round_pin,3,1.8048811432241556e-07,True
gemma4:12b,state_303,Gear_Medium,gear,3,1.4305113609225373e-06,True
gemma4:12b,state_303,Gear_Medium,hex_nut,2,4.000594173658437e-09,True
gemma4:12b,state_303,Gear_Medium,round_pin,3,2.562837397299352e-06,True
gemma4:12b,state_303,Gear_Small,gear,3,5.960463127507865e-07,True
gemma4:12b,state_303,Gear_Small,hex_nut,2,1.609311744317346e-08,True
gemma4:12b,state_303,Gear_Small,round_pin,3,2.0396742827746055e-07,True
gemma4:12b,state_303,Waterproof_Male,gear,3,4.1894260861096455e-07,True
